Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;displayprotection;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;tbench;batlife;batstandby1;battalktime1;featuresother;bodyother;batmusicplayback1;gprstext;edge;sar-us;sar-eu
https://www.gsmarena.com/asus_rog_phone_ii_zs660kl-9770.php;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg;Asus ROG Phone II ZS660KL;Released 2019, September;240g, 9.5mm thickness;Android 9.0, ROG UI;128GB/256GB/1TB storage, no card slot;683;16%;2,519,245 hits;"6.59""";1080x2340 pixels;8/12 GB RAM;Snapdragon 855+;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 29, 32, 34, 38, 39, 40, 41, 46;HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 (Cat20 Ultimate edition) 1200/150 Mbps;2019, July 22;Available. Released 2019, September;171 x 77.6 x 9.5 mm (6.73 x 3.06 x 0.37 in);240 g (8.47 oz);Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame;Dual SIM (Nano-SIM, dual stand-by);AMOLED capacitive touchscreen, 1B colors;6.59 inches, 106.6 cm(~80.3% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density);Corning Gorilla Glass 6;HDR10120Hz refresh rate;Android 9.0 (Pie), ROG UI;Qualcomm SM8150 Snapdragon 855+ (7 nm);Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640 (700 MHz);No;128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM;UFS 3.0;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Laser AF13 MP, f/2.4, 11mm (ultrawide)";LED flash, HDR, panorama;"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)";24MP, f/2.2, 0.9µm;Panorama, HDR;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, Wi-Fi Direct, hotspot;5.0, A2DP, LE, aptX HD;Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS;Yes;FM radio;"3.1, Type-C 1.0 reversible connector; accessory connector";Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Non-removable Li-Po 6000 mAh battery;Matte Black, Glossy Black;ASUS_I001D, I001DA, I001DE, I001DC, I001DB, I001D;;AnTuTu: 398935 (v7), 483239 (v8)GeekBench: 10923 (v4.4)GFXBench: 40fps (ES 3.1 onscreen);;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_6_zs630kl-9698.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg;Asus Zenfone 6 ZS630KL;Released 2019, May;190g, 9.2mm thickness;Android 9.0, ZenUI 6;64GB/128GB/256GB storage, microSDXC;579;9.3%;2,286,404 hits;"6.4""";1080x2340 pixels;6/8 GB RAM;Snapdragon 855;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - A version;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41 - A version;HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps;2019, May 16;Available. Released 2019, May;159.1 x 75.4 x 9.2 mm (6.26 x 2.97 x 0.36 in);190 g (6.70 oz);Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.4 inches, 100.5 cm(~83.8% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density);Corning Gorilla Glass 6;HDR10;Android 9.0 (Pie), ZenUI 6;Qualcomm SM8150 Snapdragon 855 (7 nm);Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640;microSDXC (dedicated slot);64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM;UFS 2.1;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Laser AF13 MP, f/2.4, 11mm (ultrawide)";Dual-LED flash, HDR, auto panorama (motorized rotation);"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)";Motorized flip-up main camera module;Dual-LED flash, HDR, auto panorama (motorized rotation);"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)";24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;5.0, A2DP, LE, aptX HD;Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS;Yes;FM radio;2.0, Type-C 1.0 reversible connector;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Non-removable Li-Po 5000 mAh battery;Midnight Black, Twilight Silver;ASUS_I01WD, ZS630KL, I01WD;;AnTuTu: 361679 (v7), 447774 (v8)GeekBench: 10721 (v4.4), 2609 (v5.1)GFXBench: 36fps (ES 3.1 onscreen);;Up to 624 h (3G);Up to 33 h (3G);;;;;;;
https://www.gsmarena.com/asus_zenfone_live_(l2)-9667.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg;Asus ZenFone Live (L2);Released 2019, May;140g, 8.2mm thickness;Android 8.0 Oreo, ZenUI 5;16GB/32GB storage, microSDXC;17;3.0%;330,981 hits;"5.5""";720x1440 pixels;2 GB RAM;Snapdragon 425;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - A version;1, 2, 3, 5, 7, 8, 20, 40 - A version;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, April;Available. Released 2019, May;147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in);140 g (4.94 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.5 inches, 78.1 cm(~73.8% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);;;Android 8.0 Oreo (Go edition), ZenUI 5;Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm);Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53;Adreno 308Adreno 505;microSDXC (dedicated slot);16GB 2GB RAM, 32GB 2GB RAM;eMMC 5.1;8 MP or 13 MP, f/2.0, PDAF;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.4;LED flash, HDR;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Non-removable Li-Ion 3000 mAh battery;Rocket Red, Cosmic Blue;;;;;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_max_plus_(m2)_zb634kl-9634.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg;Asus Zenfone Max Plus (M2) ZB634KL;Released 2019, March;165g, 8.4mm thickness;Android 8.0;32GB storage, microSDXC;17;1.1%;387,297 hits;"6.26""";1080x2246 pixels;3 GB RAM;Snapdragon SiP 1;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 28;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps;2019, March;Available. Released 2019, March;159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in);165 g (5.82 oz);;Dual SIM (Nano-SIM, dual stand-by);S-IPS LCD capacitive touchscreen, 16M colors;6.26 inches, 98.7 cm(~81.4% screen-to-body ratio);1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density);;;Android 8.0 (Oreo);Qualcomm Snapdragon SiP 1;Octa-core 1.8 GHz;Adreno 506;microSDXC (dedicated slot);32GB 3GB RAM;;"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF5 MP, f/2.4, (depth)";LED flash, HDR, panorama;1080p@30fps;8 MP;LED flash;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS;;FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Non-removable Li-Po 4000 mAh battery;Red, Silver, Blue, Black;;About 200 EUR;;;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_max_shot_zb634kl-9633.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg;Asus Zenfone Max Shot ZB634KL;Released 2019, March;165g, 8.4mm thickness;Android 8.0;64GB storage, microSDXC;16;0.6%;210,754 hits;"6.26""";1080x2246 pixels;4 GB RAM;Snapdragon SiP 1;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 28;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps;2019, March;Available. Released 2019, March;159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in);165 g (5.82 oz);;Dual SIM (Nano-SIM, dual stand-by);S-IPS LCD capacitive touchscreen, 16M colors;6.26 inches, 98.7 cm(~81.4% screen-to-body ratio);1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density);;;Android 8.0 (Oreo);Qualcomm Snapdragon SiP 1;Octa-core 1.8 GHz;Adreno 506;microSDXC (dedicated slot);64GB 4GB RAM;;"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (depth)";LED flash, HDR, panorama;1080p@30fps;8 MP;LED flash;1080p@30fps;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS;;FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Non-removable Li-Po 4000 mAh battery;Red, Silver, Blue, Black;A001D;About 310 EUR;;;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_max_pro_(m2)_zb631kl-9410.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg;Asus Zenfone Max Pro (M2) ZB631KL;Released 2018, December;175g, 8.5mm thickness;Android 8.1, up to Android 9.0;32GB/64GB storage, microSDXC;235;6.8%;3,004,310 hits;"6.26""";1080x2280 pixels;3-6 GB RAM;Snapdragon 660;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 40;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps;2018, December;Available. Released 2018, December;157.9 x 75.5 x 8.5 mm (6.22 x 2.97 x 0.33 in);175 g (6.17 oz);Glass front (Gorilla Glass 6), plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.26 inches, 97.8 cm(~82.0% screen-to-body ratio);1080 x 2280 pixels, 19:9 ratio (~403 ppi density);Corning Gorilla Glass 6;;Android 8.1 (Oreo), upgradable to Android 9.0 (Pie);Qualcomm SDM660 Snapdragon 660 (14 nm);Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Adreno 512;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM;eMMC 5.1;"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF5 MP, f/2.4, (depth)";LED flash, HDR, panorama;4K@30fps, 1080p@30/60fps, gyro-EIS;"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm";LED flash, HDR;1080p@30fps;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;5.0, A2DP, LE;Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS;Yes;FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Non-removable Li-Po 5000 mAh battery;Blue, Titanium;X01BDA, Zenfone Max Pro M2, ZB631KL;About 370 EUR;AnTuTu: 124039 (v7)GeekBench: 5169 (v4.4)GFXBench: 7.6fps (ES 3.1 onscreen);;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_max_(m2)_zb633kl-9437.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m2-zb633kl-r.jpg;Asus Zenfone Max (M2) ZB633KL;Released 2018, December;160g, 7.7mm thickness;Android 8.1, up to Android 9.0;32GB/64GB storage, microSDXC;39;3.7%;828,849 hits;"6.26""";720x1520 pixels;3/4 GB RAM;Snapdragon 632;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 40;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, December;Available. Released 2018, December;158.4 x 76.3 x 7.7 mm (6.24 x 3.00 x 0.30 in);160 g (5.64 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.26 inches, 97.8 cm(~80.9% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~269 ppi density);;;Android 8.1 (Oreo), upgradable to Android 9.0 (Pie);Qualcomm SDM632 Snapdragon 632 (14 nm);Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver);Adreno 506;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM;eMMC 5.1;"13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF2 MP, (depth)";LED flash, HDR, panorama;4K@30fps, 1080p@30fps;"8 MP, f/2.0, 1/4"", 1.12µm";LED flash, HDR;1080p@30fps;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;;FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Non-removable Li-Ion 4000 mAh battery;Black, Blue;X01AD, X01BD;;AnTuTu: 103243 (v7)GeekBench: 4744 (v4.4)GFXBench: 7.7fps (ES 3.1 onscreen);;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_max_(m1)_zb556kl-9373.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb556kl.jpg;Asus Zenfone Max (M1) ZB556KL;Released 2018, October;150g, 8.7mm thickness;Android 8, ZenUI 5;32GB storage, microSDXC;18;0.5%;326,649 hits;"5.45""";720x1440 pixels;3 GB RAM;Snapdragon 430;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100 - A version;1, 2, 3, 5, 7, 8, 20, 40 - A version;HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps;2018, October;Available. Released 2018, October;147.3 x 70.9 x 8.7 mm (5.80 x 2.79 x 0.34 in);150 g (5.29 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.45 inches, 86.5 cm(~82.8% screen-to-body ratio);720 x 1440 pixels, 16:10 ratio (~247 ppi density);;;Android 8 (Oreo), ZenUI 5;Qualcomm MSM8937 Snapdragon 430 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm, PDAF";LED flash, HDR, panorama;1080p@30fps (gyro-EIS);"8 MP, f/2.0, 25mm (wide), 1/4"", 1.12µm";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;;FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, proximity, compass;Non-removable Li-Po 4000 mAh battery;Deepsea Black, Sunlight Gold;;About 120 EUR;AnTuTu: 57845 (v7)GeekBench: 2434 (v4.4)GFXBench: 5.2fps (ES 3.1 onscreen);;;;Photo/video editor;;;;;;
https://www.gsmarena.com/asus_zenfone_lite_(l1)_za551kl-9372.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-lite-l1-za551kl.jpg;Asus ZenFone Lite (L1) ZA551KL;Released 2018, October;140g, 8.2mm thickness;Android 8.0 Oreo;16GB storage, microSDXC;12;0.6%;212,766 hits;"5.45""";720x1440 pixels;2 GB RAM;Snapdragon 430;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40;HSPA 42.2/5.76 Mbps, LTE-A;2018, October;Available. Released 2018, October;147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in);140 g (4.94 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.45 inches, 76.7 cm(~72.5% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);;;Android 8.0 Oreo;Qualcomm MSM8937 Snapdragon 430 (28 nm);Octa-core 1.4 GHz Cortex-A53;Adreno 505;microSDXC (dedicated slot);16GB 2GB RAM;eMMC 5.1;"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF";LED flash, HDR, panorama;1080p@30fps;"5 MP, f/2.4, 1/5"", 1.12µm";LED flash;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;;FM radio;microUSB 2.0, USB On-The-Go;Accelerometer, proximity, compass;Non-removable Li-Ion 3000 mAh battery;Black, Gold;;About 80 EUR;;;;;;;;;;;
https://www.gsmarena.com/asus_rog_phone_zs600kl-9224.php;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone.jpg;Asus ROG Phone ZS600KL;Released 2018, October;200g, 8.3mm thickness;Android 8.1, up to 9.0, ROG Gaming X UI;128GB/512GB storage, no card slot;466;4.9%;2,453,631 hits;"6.0""";1080x2160 pixels;8 GB RAM;Snapdragon 845;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - A version, B version;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 29, 32, 34, 38, 39, 40, 41, 46 - A version, B version;HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps;2018, June;Available. Released 2018, October;158.8 x 76.2 x 8.3 mm (6.25 x 3.00 x 0.33 in);200 g (7.05 oz);Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame;Dual SIM (Nano-SIM, dual stand-by);AMOLED capacitive touchscreen, 16M colors;6.0 inches, 92.9 cm(~76.8% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~402 ppi density);Corning Gorilla Glass 6;HDR90Hz refresh rateAlways-on display;Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), ROG Gaming X UI;Qualcomm SDM845 Snapdragon 845 (10 nm);Octa-core (4x2.96 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver);Adreno 630;No;128GB 8GB RAM, 512GB 8GB RAM;UFS 2.1;"12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, 4-axis OIS8 MP, 12mm (ultrawide), no AF";LED flash, panorama, HDR;4K@30/60fps, 1080p@30/60/240fps, (3-axis gyro-EIS);8 MP, f/2.0, 24mm (wide);Panorama, HDR;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, Wi-Fi Direct, hotspot;5.0, A2DP, LE, aptX HD;Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS;Yes;FM radio;"3.1, Type-C 1.0 reversible connector; accessory connector";Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Non-removable Li-Ion 4000 mAh battery;Black;Z01QD, ZS600KL;;AnTuTu: 288821 (v7)GeekBench: 9406 (v4.4)GFXBench: 31fps (ES 3.1 onscreen);;;;;3 Ultrasonic pressure sensitive zonesWater resistant;;;;;
https://www.gsmarena.com/asus_zenfone_live_(l1)_za550kl-9194.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l1-za550kl-.jpg;Asus ZenFone Live (L1) ZA550KL;Released 2018, May;140g, 8.2mm thickness;Android 8.0 Oreo, ZenUI 5;16GB/32GB storage, microSDXC;26;3.2%;924,567 hits;"5.5""";720x1440 pixels;1/2 GB RAM;Snapdragon 425;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 40;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, May;Available. Released 2018, May;147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in);140 g (4.94 oz);Glass front, plastic back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.5 inches, 78.1 cm(~73.8% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);;;Android 8.0 Oreo (Go edition), ZenUI 5;Qualcomm MSM8917 Snapdragon 425 (28 nm);Quad-core 1.4 GHz Cortex-A53;Adreno 308;microSDXC (dedicated slot);16GB 1GB RAM, 32GB 2GB RAM;eMMC 5.1;13 MP, f/2.0, PDAF;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.4;LED flash;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;;FM radio;microUSB 2.0;Accelerometer, gyro, proximity, compass;Non-removable Li-Ion 3000 mAh battery;Space Blue, Rose Pink, Shimmer Gold, Midnight Black;X00RD, ZA550KL;About 100 EUR;;;;;;;;;;;
https://www.gsmarena.com/asus_zenfone_max_pro_(m1)_zb601kl_zb602k-9173.php;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m1-zb601kl-.jpg;Asus Zenfone Max Pro (M1) ZB601KL/ZB602K;Released 2018, May;180g, 8.5mm thickness;Android 8.1, up to Android 9.0;32GB/64GB/128GB storage, microSDXC;523;5.3%;6,411,866 hits;"5.99""";1080x2160 pixels;3-6 GB RAM;Snapdragon 636;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 40 - India;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, April;Available. Released 2018, May;159 x 76 x 8.5 mm (6.26 x 2.99 x 0.33 in);180 g (6.35 oz);Glass front, aluminum back, plastic frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.99 inches, 92.1 cm(~76.2% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~404 ppi density);;;Android 8.1 (Oreo), upgradable to Android 9.0 (Pie);Qualcomm SDM636 Snapdragon 636 (14 nm);Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver);Adreno 509;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM;eMMC 5.1;13 MP, f/2.2, 25mm (wide), 1.12µm, PDAF5 MP, f/2.4, (depth)or16 MP, f/2.0, PDAF5 MP, f/2.4, (depth) (6 GB RAM model only);LED flash, HDR, panorama;4K@30fps, 1080p@30/60fps;"8 MP, f/2.2, 26mm (wide), 1.0µm16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm (6 GB RAM model only)";LED flash;1080p@30fps;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;5.0, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;Yes (market dependent);FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, proximity, compass, gyroscope, ambient light sensor;Non-removable Li-Po 5000 mAh battery;Meteor Silver, Deepsea Black;X00TD, X00TDB, X00TDA, ZB601KL, ZB602K, ZB602KL, ASUS_X00TD;About 160 EUR;AnTuTu: 115509 (v7)GeekBench: 4910 (v4.4)GFXBench: 6fps (ES 3.1 onscreen);;Up to 840 h (3G);Up to 42 h (3G);;;Up to 199 h;;;;
